timestamp,test-class,test-method,time,description,result
2021-12-09 11:57:24.662,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,4129,"[1] recordIndex=0, title=Clean my house, description=I have to clean my house, periodInitial=2021/02/01 12:30, periodFinal=2021/02/01 13:30, workloadInHours=1.00, link=null, isPublic=true",Expected value '2021/02/01 12:30' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:28.455,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3370,"[2] recordIndex=0, title=Study the math exam, description=I have to study the math exam, periodInitial=2021/02/11 12:30, periodFinal=2021/02/28 12:30, workloadInHours=11.25, link=null, isPublic=true",Expected value '2021/02/11 12:30' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:32.508,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3741,"[3] recordIndex=0, title=Clean my car, description=I have to clean my car, periodInitial=2021/03/01 12:30, periodFinal=2021/03/01 12:45, workloadInHours=0.10, link=http://lavaderos.com, isPublic=true",Expected value '2021/03/01 12:30' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:36.355,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3427,"[4] recordIndex=0, title=Go to the doctor, description=I have to go to the doctor, periodInitial=2021/03/01 12:30, periodFinal=2021/04/06 13:30, workloadInHours=1.34, link=null, isPublic=true",Expected value '2021/03/01 12:30' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:40.189,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3442,"[5] recordIndex=0, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/03/01 12:30, periodFinal=2021/04/06 13:30, workloadInHours=8.59, link=http://www.sample-app.com, isPublic=true",Expected value '2021/03/01 12:30' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:44.099,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3551,"[6] recordIndex=0, title=Buy vegetables, description=I have to go to the supermarket, periodInitial=2021/07/07 00:00, periodFinal=2021/07/08 00:00, workloadInHours=1.15, link=http://supermarketOnline.com, isPublic=true",Expected value '2021/07/07 00:00' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:47.845,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3443,"[7] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/03/31 17:50, periodFinal=2021/03/31 18:55, workloadInHours=0.44, link=http://www.sample-app.com, isPublic=false",Expected value '2021/03/31 17:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:51.12,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,2992,"[8] recordIndex=0, title=Clean my car, description=I have to clean my car, periodInitial=2021/03/31 17:50, periodFinal=2021/08/11 19:55, workloadInHours=8.59, link=null, isPublic=false",Expected value '2021/03/31 17:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:54.692,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3263,"[9] recordIndex=0, title=Study the math test, description=I have to study this month, periodInitial=2021/07/28 13:50, periodFinal=2021/08/28 17:55, workloadInHours=9.00, link=http://mathExams.com, isPublic=true",Expected value '2021/07/28 13:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:57:58.279,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3256,"[10] recordIndex=0, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/03/31 17:50, periodFinal=2021/08/29 19:55, workloadInHours=0.24, link=http://www.sample-app.com, isPublic=true",Expected value '2021/03/31 17:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:58:01.792,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3186,"[11] recordIndex=0, title=Study the math exam, description=I have to study the math exam, periodInitial=2021/03/31 19:50, periodFinal=2021/08/30 17:55, workloadInHours=1.34, link=null, isPublic=false",Expected value '2021/03/31 19:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:58:05.205,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteDutyPositive,3088,"[12] recordIndex=0, title=Clean the car, description=I have to clean the car, periodInitial=2021/03/31 17:50, periodFinal=2021/08/31 18:55, workloadInHours=0.14, link=http://lavaderosSevilla.com, isPublic=true",Expected value '2021/03/31 17:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 11:58:06.14,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteTasksNegativeAnonymous,560,"[1] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/03/31 17:50, periodFinal=2021/03/31 18:55, workloadInHours=0.44, link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 11:58:09.991,acme.testing.officer.duty.OfficerDutyDeleteTest,deleteTasksNegativeAdministrator,3505,"[1] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/03/31 17:50, periodFinal=2021/03/31 18:55, workloadInHours=0.44, link=http://www.sample-app.com, isPublic=true",OK
