timestamp,test-class,test-method,time,description,result
2021-12-09 12:31:49.583,acme.testing.officer.duty.OfficerDutyUpdateTest,updateDutyPositive,6844,"[1] recordIndex=0, title=Hacer DP editado, description=Tengo que terminar la entrega, periodInitial=2021/12/14 17:50, periodFinal=2022/01/25 18:55, workload=22.59, link=http://www.prueba.com, isPublic=false",OK
2021-12-09 12:31:56.406,acme.testing.officer.duty.OfficerDutyUpdateTest,updateDutyPositive,6574,"[2] recordIndex=1, title=Hacer DP tarea 7, description=Prueba de edición, periodInitial=2021/12/14 17:50, periodFinal=2022/01/27 19:55, workload=0.50, link=http://www.sample-app.com, isPublic=false",OK
2021-12-09 12:32:03.175,acme.testing.officer.duty.OfficerDutyUpdateTest,updateDutyPositive,6518,"[3] recordIndex=2, title=Hacer DP tarea 10, description=Tengo que terminar la entrega 10, periodInitial=2021/12/14 13:50, periodFinal=2022/01/27 12:12, workload=3.12, link=null, isPublic=true",OK
2021-12-09 12:32:09.611,acme.testing.officer.duty.OfficerDutyUpdateTest,updateDutyPositive,6190,"[4] recordIndex=3, title=Hacer DP tarea 8, description=Tengo que terminar la entrega 8, periodInitial=2021/12/14 12:12, periodFinal=2022/01/27 14:12, workload=1.24, link=null, isPublic=true",OK
2021-12-09 12:32:16.397,acme.testing.officer.duty.OfficerDutyUpdateTest,updateDutyPositive,6546,"[5] recordIndex=4, title=Hacer DP tarea 5, description=Tengo que terminar la entrega, periodInitial=2021/12/14 19:50, periodFinal=2022/01/27 19:51, workload=0.01, link=http://www.twitter.com, isPublic=false",OK
2021-12-09 12:32:22.874,acme.testing.officer.duty.OfficerDutyUpdateTest,updateDutyPositive,6242,"[6] recordIndex=5, title=Probando manager Id editado, description=Tengo que terminar la entrega editado, periodInitial=2021/12/14 21:50, periodFinal=2030/10/31 23:55, workload=98.59, link=http://www.sample-app2.com, isPublic=true",OK
2021-12-09 12:32:28.19,acme.testing.officer.duty.OfficerDutyUpdateTest,updateTasksNegative,5061,"[1] recordIndex=0, title=null, description=null, periodInitial=null, periodFinal=null, workload=null, link=null, isPublic=false",OK
2021-12-09 12:32:34.057,acme.testing.officer.duty.OfficerDutyUpdateTest,updateTasksNegative,5578,"[2] recordIndex=1, title=null, description=Tengo q ir a la escuela, periodInitial=2020/08/17 12:24, periodFinal=2021/08/17 13:25, workload=0.60, link=https://sample5.com, isPublic=true",OK
2021-12-09 12:32:39.807,acme.testing.officer.duty.OfficerDutyUpdateTest,updateTasksNegative,5503,"[3] recordIndex=2, title=Dp editado 5, description=null, periodInitial=2021/08/17 12:25, periodFinal=2020/08/17 12:24, workload=0.01, link=sample.com, isPublic=false",OK
2021-12-09 12:32:45.406,acme.testing.officer.duty.OfficerDutyUpdateTest,updateTasksNegative,5364,"[4] recordIndex=3, title=Tarea 3 edit, description=Tengo q ir a lavar la ropa, periodInitial=2021/08/17 12:25, periodFinal=null, workload=-18, link=https://sample4.com, isPublic=true",OK
2021-12-09 12:32:51.194,acme.testing.officer.duty.OfficerDutyUpdateTest,updateTasksNegative,5555,"[5] recordIndex=4, title=Tarea 17, description=Lavar los platos, periodInitial=2021/08/17 12:25, periodFinal=2021/08/17 12:27, workload=0.03, link=https://sample3.com, isPublic=true",OK
2021-12-09 12:32:57.037,acme.testing.officer.duty.OfficerDutyUpdateTest,updateTasksNegative,5588,"[6] recordIndex=5, title=Tarea 28 sexo, description=Hacer DP, periodInitial=2021/08/17 12:25, periodFinal=2030/08/17 12:27, workload=1000.08, link=https://sample2.com, isPublic=false",OK
